run_timestamp,unit_index,unit_folder,condition_label,manual_best_batch_idx,reference_best_batch_idx,mds_manual_fit_distance_to_data,mds_original_model_distance_to_data,mds_distance_improvement,reference_data_mds_x,reference_data_mds_y,reference_model_mds_x,reference_model_mds_y,manual_fit_mds_x,manual_fit_mds_y,raw_raster_mse,raw_raster_rmse,raw_raster_mae,psth_5ms_sse,psth_10ms_sse,psth_20ms_sse,psth_50ms_sse,psth_5ms_pearson_r,psth_10ms_pearson_r,psth_20ms_pearson_r,psth_50ms_pearson_r,rcorr,psth_20ms_cosine_similarity,split_half_data_20ms,split_half_model_20ms,noise_corrected_r_10ms,lifetime_sparseness_data_20ms,lifetime_sparseness_model_20ms,lifetime_sparseness_abs_error_20ms,firing_rate_abs_error_hz,peak_rate_abs_error_hz,peak_latency_abs_error_ms,onset_responsiveness_abs_error,offset_responsiveness_abs_error,config_path,config_strfGain,config_paramH_alpha,generated_solver_path,On_ROn_gSYN,Off_ROn_gSYN,On_SOnOff_gSYN,Off_SOnOff_gSYN,SOnOff_ROn_gSYN,ROn_tau_ad,ROn_g_inc
2026-04-08T12:40:41,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,77.0920663829,41.4772730388,-35.6147933441,28.2922293752,74.615157806,11.8603350349,36.5316045693,33.4978159743,-2.30095602818,0.00370457372628,0.0608652094902,0.00370457372628,2709,3851,5519,7586,0.00665733110463,0.0268929249262,0.116633480883,0.303391799091,0.0268929249262,0.453476653593,0.910074400643,0.225153500881,0.0284945753384,0.791464693226,0.243683117618,0.547781575607,7.78497314453,50,0,0.175302582459,0.24882288931,,,,,,,,,,,
2026-04-08T12:42:42,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,75.6117393732,41.4772730388,-34.1344663344,28.2922293752,74.615157806,11.8603350349,36.5316045693,12.3351685998,0.706380638046,0.00296969898045,0.0544949445403,0.00296969898045,2358,3296,5012,7761,0.0231647210453,0.0634694271846,0.0505110114851,-0.0192077131879,0.0634694271846,0.420847417322,0.910074400643,0.123911185375,0.0667522437182,0.791464693226,0.260822703555,0.53064198967,0.369113922119,70,20,0.142999996439,0.279987637994,,,,,,,,,,,
2026-04-08T12:47:08,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,76.7392998746,41.4772730388,-35.2620268357,28.2922293752,74.615157806,11.8603350349,36.5316045693,22.871921378,-1.93247707882,0.00332203623839,0.0576371081716,0.00332203623839,2213,2953,4103,6330,0.182769316176,0.271959424218,0.380818464216,0.412957355426,0.271959424218,0.570221815831,0.910074400643,0.272239437831,0.283324688266,0.791464693226,0.265890126673,0.525574566553,3.89248657227,59.9999980927,60,0.226223892307,0.330058717379,,,,,,,,,,,
2026-04-08T12:55:50,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,120.789277954,41.4772730388,-79.3120049149,28.2922293752,74.615157806,11.8603350349,36.5316045693,25.1674054929,-46.1336937177,0.00373812951148,0.0611402446141,0.00373812951148,2885,4203,5949,6699,0.0813600684832,0.105758797374,0.206656705796,0.480212027859,0.105758797374,0.472290099821,0.910074400643,0.681279938945,0.110945671258,0.791464693226,0.414296874565,0.377167818661,8.18764305115,45,20,0.289955694605,0.351557413972,,,,,,,,,,,
2026-04-08T12:58:18,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,110.042799429,41.4772730388,-68.5655263903,28.2922293752,74.615157806,11.8603350349,36.5316045693,-4.55334829576,-30.4114375576,0.00281198625453,0.053028164729,0.00281198625453,1959,2619,3531,5597,0.261272637031,0.370318438373,0.506967229725,0.504072374361,0.370318438373,0.643763863809,0.910074400643,0.464771969561,0.385047941758,0.791464693226,0.429503671309,0.361961021916,1.14090251923,59.9999980927,0,0.217514712435,0.290497414329,,,,,,,,,,,
2026-04-08T13:00:04,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,64.0815323266,41.4772730388,-22.6042592878,28.2922293752,74.615157806,11.8603350349,36.5316045693,-7.81248766728,21.6728099867,0.0025972283911,0.0509630100278,0.0025972283911,1939,2557,3639,5702,0.250746555307,0.400509311065,0.533612657858,0.601231394225,0.400509311065,0.655642858047,0.910074400643,0.183150644445,0.418091593117,0.791464693226,0.381057121262,0.410407571963,3.28848075867,59.9999980927,40,0.1816357456,0.24680925314,,,,,,,,,,,
2026-04-08T13:01:23,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,64.4072336695,41.4772730388,-22.9299606307,28.2922293752,74.615157806,11.8603350349,36.5316045693,-2.83417324895,18.2286451577,0.00269454042427,0.0519089628511,0.00269454042427,1902,2632,4018,5829,0.264112710618,0.360456897506,0.403544666823,0.582564481278,0.360456897506,0.583229589189,0.910074400643,0.0966763789877,0.376582787247,0.791464693226,0.309446965613,0.482017727612,2.38247203827,59.9999980927,20,0.1290826809,0.219387198806,,,,,,,,,,,
2026-04-08T13:08:03,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,53.1295951286,41.4772730388,-11.6523220898,28.2922293752,74.615157806,11.8603350349,36.5316045693,-15.2842484788,44.2203481113,0.00259387260303,0.0509300756236,0.00259387260303,1542,1810,2142,3456,0.498037964554,0.639332467975,0.75358613848,0.757531498408,0.639332467975,0.811797826065,0.910074400643,0.795152868933,0.668325079774,0.791464693226,0.721482435404,0.0699822578217,3.25492477417,25,0,0.0914042882672,0.120799687793,,,,,,,,,,,
2026-04-08T13:10:53,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,38.0864545725,41.4772730388,3.39081846628,28.2922293752,74.615157806,11.8603350349,36.5316045693,-6.52691633605,59.1812628391,0.00298312143423,0.0546179588984,0.00298312143423,1332,1606,2056,3156,0.60628789403,0.697135225042,0.754356768768,0.754208496188,0.697135225042,0.812843511799,0.910074400643,0.858755275134,0.730501983303,0.791464693226,0.706677093137,0.0847876000885,0.637561798096,10,0,0.00906546934716,0.0952997082867,,,,,,,,,,,
2026-04-08T13:13:31,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,27.463884054,41.4772730388,14.0133889849,28.2922293752,74.615157806,11.8603350349,36.5316045693,1.4879167683,68.6323697433,0.00329519133084,0.0574037571143,0.00329519133084,1565,1891,2433,3871,0.585234554435,0.689581102587,0.740303298535,0.722624440521,0.689581102587,0.802896488065,0.910074400643,0.889597197733,0.720904493307,0.791464693226,0.681512452692,0.109952240534,3.89248657227,15,0,0.0011412453857,0.102552384043,,,,,,,,,,,
2026-04-08T13:15:14,133,C:\Users\ipboy\Documents\GitHub\MouseSpatialGrid\LearningModels\Manual_Tuning\post_fit_reports\unit_133,contra,0,1,16.2594679815,41.4772730388,25.2178050574,28.2922293752,74.615157806,11.8603350349,36.5316045693,12.169747795,76.7213122963,0.00366430659778,0.0605335163177,0.00366430659778,1889,2479,3041,4935,0.587637807261,0.683478992785,0.731800697166,0.725904360014,0.683478992785,0.796455433423,0.910074400643,0.908875577219,0.714224473374,0.791464693226,0.640248352109,0.151216341116,7.78497314453,30.0000076294,0,0.0274288550979,0.106061642588,,,,,,,,,,,
